date,mean_risk_z,high_intensity,low_intensity,dispersion,total_assets,mean_risk_z_smooth,high_intensity_smooth,portfolio_risk_regime_raw,portfolio_risk_regime
2024-09-16,0.014267040056429753,0.10632183908045977,0.040229885057471264,0.6999339714919111,348,0.009388402863021722,0.09008418806142228,NORMAL,NORMAL
2024-09-17,-0.10096363468734254,0.06628242074927954,0.069164265129683,0.7659739820693818,347,-0.03858393709374274,0.0823774994067456,NORMAL,NORMAL
2024-09-18,0.05410082979251042,0.1264705882352941,0.08235294117647059,0.8893744084155328,340,-0.022997416295909644,0.09210965739962576,NORMAL,NORMAL
2024-09-19,-0.09795139777226755,0.08235294117647059,0.10588235294117647,0.8528119262223728,340,-0.0272601298221982,0.09457464339402351,NORMAL,NORMAL
2024-09-20,0.2154312712610703,0.1489971346704871,0.04011461318051576,0.8554335799476257,349,0.016976821730080062,0.10608498478239822,NORMAL,NORMAL
2024-09-23,0.10652497411715482,0.11206896551724138,0.04597701149425287,0.7645786759142882,348,0.03542840854222508,0.10723441006975457,NORMAL,NORMAL
2024-09-24,0.026048285682843588,0.08831908831908832,0.05128205128205128,0.7795748490048363,351,0.0608307926162623,0.1116417435837163,NORMAL,NORMAL
2024-09-25,0.018193554681210106,0.08192090395480225,0.0423728813559322,0.7391491184337072,354,0.053649337594002235,0.10273180672761792,NORMAL,NORMAL
2024-09-26,0.0016277238528900496,0.06552706552706553,0.045584045584045586,0.7782994968085448,351,0.07356516191903376,0.09936663159773693,NORMAL,NORMAL
2024-09-27,-0.014516546358756884,0.08806818181818182,0.05113636363636364,0.7451026852227284,352,0.02757559839506831,0.08718084102727586,NORMAL,NORMAL
2024-09-30,-0.019275654453537572,0.08069164265129683,0.037463976945244955,0.7379248776812034,347,0.002415472680929835,0.08090537645408695,NORMAL,NORMAL
2024-10-01,-0.12869683823649536,0.053824362606232294,0.06232294617563739,0.7116826935491827,353,-0.028533552102937954,0.07400643131151576,NORMAL,NORMAL
2024-10-02,-0.09086961240565221,0.045714285714285714,0.03428571428571429,0.706827250521886,350,-0.050346185520310414,0.06676510766341244,NORMAL,NORMAL
2024-10-03,-0.16276331263253888,0.06647398843930635,0.06936416184971098,0.742707471185622,346,-0.08322439281739621,0.06695449224586061,NORMAL,NORMAL
2024-10-04,-0.22237558465046037,0.04927536231884058,0.09565217391304348,0.7366085043838375,345,-0.12479620047573689,0.059195928345992355,NORMAL,NORMAL
2024-10-07,-0.04587655055536091,0.09428571428571429,0.06285714285714286,0.9011885321433771,350,-0.13011637969610157,0.06191474267287585,NORMAL,NORMAL
2024-10-08,-0.1161448456580638,0.05309734513274336,0.06784660766961652,0.776629391947682,339,-0.12760598118041527,0.06176933917817806,NORMAL,NORMAL
2024-10-09,-0.029567220778029334,0.09482758620689655,0.06321839080459771,0.814661322283196,348,-0.11534550285489067,0.07159199927670022,NORMAL,NORMAL
2024-10-10,0.040681381919413104,0.0872093023255814,0.05232558139534884,0.7840321887660796,344,-0.07465656394450029,0.07573906205395523,NORMAL,NORMAL
2024-10-11,0.13496949092518046,0.13583815028901733,0.049132947976878616,0.8761171640304631,346,-0.0031875488293721167,0.0930516196479906,NORMAL,NORMAL
2024-10-14,0.014845955492019699,0.0893371757925072,0.04899135446685879,0.7845416823178826,347,0.008956952380104004,0.09206191194934918,NORMAL,NORMAL
2024-10-15,0.055352598073235795,0.11304347826086956,0.04927536231884058,0.7982712077818068,345,0.04325644112636392,0.10405113857497442,NORMAL,NORMAL
2024-10-16,0.030510270802817284,0.119533527696793,0.04664723032069971,0.7851034222929228,343,0.055271939442533245,0.10899232687295371,NORMAL,NORMAL
2024-10-17,0.035580870335762016,0.11661807580174927,0.061224489795918366,0.8762454324329344,343,0.054251837125803025,0.11487408156818728,NORMAL,NORMAL
2024-10-18,0.11300289423639737,0.14326647564469913,0.05730659025787966,0.8473748600545123,349,0.04985851778804641,0.11635974663932362,NORMAL,NORMAL
2024-10-21,-0.059042115178335165,0.06451612903225806,0.06744868035190615,0.7344251215880115,341,0.03508090365397544,0.1113955372872738,NORMAL,NORMAL
2024-10-22,-0.07168623110168937,0.07848837209302326,0.07267441860465117,0.8631683527583348,344,0.009673137818990405,0.10448451605370454,NORMAL,NORMAL
2024-10-23,-0.07896409804180304,0.10115606936416185,0.10982658959537572,0.8959286412635707,346,-0.01222173594993366,0.10080902438717831,NORMAL,NORMAL
2024-10-24,-0.11602953929393352,0.07758620689655173,0.06609195402298851,0.8158925368806894,348,-0.04254381787587277,0.0930026506061388,NORMAL,NORMAL
2024-10-25,-0.14421535417233194,0.0755813953488372,0.10174418604651163,0.8204803927127026,344,-0.09398746755761864,0.07946563454696642,NORMAL,NORMAL
2024-10-28,-0.07140198580420594,0.10285714285714286,0.07142857142857142,0.8432316298508347,350,-0.09645944168279277,0.08713383731194338,NORMAL,NORMAL
2024-10-29,-0.09096310587646089,0.09714285714285714,0.10285714285714286,0.8209871301603802,350,-0.1003148166377471,0.09086473432191015,NORMAL,NORMAL
2024-10-30,0.05293337757968808,0.14124293785310735,0.07909604519774012,0.9712087714975816,354,-0.07393532151344887,0.09888210801969925,NORMAL,NORMAL
2024-10-31,0.04316567902283634,0.13119533527696792,0.061224489795918366,0.9354376748028234,343,-0.04209627785009489,0.1096039336957825,NORMAL,NORMAL
2024-11-01,-0.0688659325889823,0.09064327485380116,0.08771929824561403,0.9096932971279236,342,-0.027026393533424963,0.1126163095967753,NORMAL,NORMAL
2024-11-04,-0.15810621836658745,0.08908045977011494,0.11206896551724138,0.844738536838445,348,-0.04436724004590127,0.1098609729793697,NORMAL,NORMAL
2024-11-05,-0.1257104994140186,0.09142857142857143,0.11142857142857143,0.9308430876647623,350,-0.051316718753412816,0.10871811583651256,NORMAL,NORMAL
2024-11-06,-0.06599630032217862,0.11834319526627218,0.08579881656804733,0.890098785603344,338,-0.07510265433378616,0.10413816731914553,NORMAL,NORMAL
2024-11-07,0.06724684611974054,0.1286549707602339,0.07894736842105263,1.0118591955257052,342,-0.07028642091440532,0.10363009441579871,NORMAL,NORMAL
2024-11-08,0.09924708167359138,0.13714285714285715,0.07142857142857142,0.9068863624217337,350,-0.03666381806189058,0.11293001087360992,NORMAL,NORMAL
2024-11-11,-0.07648383604571456,0.09116809116809117,0.07407407407407407,0.8218145628692167,351,-0.020339341597715995,0.11334753715320516,NORMAL,NORMAL
2024-11-12,0.010381852108345701,0.12968299711815562,0.07492795389048991,0.925841051572605,347,0.006879128706756865,0.12099842229112201,NORMAL,NORMAL
2024-11-13,-0.07838276145506289,0.07714285714285714,0.08571428571428572,0.8362027276285211,350,0.004401836480180013,0.11275835466643899,NORMAL,NORMAL
2024-11-14,-0.10941188860889933,0.08645533141210375,0.08357348703170028,0.826391113942017,347,-0.03092991046554796,0.10431842679681295,NORMAL,NORMAL
2024-11-15,-0.11716382043051202,0.08882521489971347,0.09742120343839542,0.8875989315778705,349,-0.07421209088636864,0.09465489834818423,NORMAL,NORMAL
2024-11-18,-0.060867982033054935,0.11614730878186968,0.11331444759206799,1.0198071619025164,353,-0.07108892008383672,0.09965074187093993,NORMAL,NORMAL
2024-11-19,-0.07634314794393239,0.09883720930232558,0.09302325581395349,0.9251987408350545,344,-0.08843392009429234,0.09348158430777392,NORMAL,NORMAL
2024-11-20,-0.14652671610333814,0.10057471264367816,0.1206896551724138,0.9251270389681158,348,-0.10206271102394737,0.09816795540793813,NORMAL,NORMAL
2024-11-21,0.020242720739838592,0.14739884393063585,0.11849710982658959,0.9858951629230752,346,-0.0761317891541998,0.11035665791164455,NORMAL,NORMAL
2024-11-22,0.1396660314465171,0.14613180515759314,0.06017191977077364,0.9056500803675926,349,-0.02476581877879398,0.12181797596322048,NORMAL,NORMAL
2024-11-25,0.0021474443664266122,0.10315186246418338,0.0659025787965616,0.8363077405574346,349,-0.012162733498897665,0.11921888669968324,NORMAL,NORMAL
2024-11-26,0.05778931170276455,0.1,0.04857142857142857,0.7793084417106431,350,0.014663758430441723,0.1194514448392181,NORMAL,NORMAL
2024-11-27,0.05002471426167085,0.09941520467836257,0.05263157894736842,0.7831461837685716,342,0.05397404450344352,0.11921954324615498,NORMAL,NORMAL
