date,symbol,allocation_weight,risk_regime,risk_profile
2020-04-27,ACB,0.2503318962756831,LOW,balanced
2020-04-27,CTD,0.2461491905606284,LOW,balanced
2020-04-27,FPT,0.22300417407973971,LOW,balanced
2020-04-27,GEX,0.2,LOW,balanced
2020-04-28,VNM,0.0805147390839488,LOW,balanced
2020-04-28,ACB,0.2503318962756831,LOW,balanced
2020-04-28,CTD,0.2461491905606284,LOW,balanced
2020-04-28,FPT,0.22300417407973971,LOW,balanced
2020-04-28,GEX,0.2,LOW,balanced
2020-04-29,VNM,0.0805147390839488,LOW,balanced
2020-04-29,ACB,0.2503318962756831,LOW,balanced
2020-04-29,CTD,0.2461491905606284,LOW,balanced
2020-04-29,FPT,0.22300417407973971,LOW,balanced
2020-04-29,GEX,0.2,LOW,balanced
2020-05-04,VNM,0.0805147390839488,LOW,balanced
2020-05-04,ACB,0.2503318962756831,LOW,balanced
2020-05-04,CTD,0.2461491905606284,LOW,balanced
2020-05-04,FPT,0.22300417407973971,LOW,balanced
2020-05-04,GEX,0.2,LOW,balanced
2020-05-05,VNM,0.0805147390839488,LOW,balanced
2020-05-05,ACB,0.2503318962756831,LOW,balanced
2020-05-05,CTD,0.2461491905606284,LOW,balanced
2020-05-05,FPT,0.22300417407973971,LOW,balanced
2020-05-05,GEX,0.2,LOW,balanced
2020-05-06,VNM,0.0805147390839488,LOW,balanced
2020-05-06,ACB,0.2503318962756831,LOW,balanced
2020-05-06,CTD,0.2461491905606284,LOW,balanced
2020-05-06,FPT,0.22300417407973971,LOW,balanced
2020-05-06,GEX,0.2,LOW,balanced
2020-05-07,VNM,0.0805147390839488,LOW,balanced
2020-05-07,ACB,0.2503318962756831,LOW,balanced
2020-05-07,CTD,0.2461491905606284,LOW,balanced
2020-05-07,FPT,0.22300417407973971,LOW,balanced
2020-05-07,GEX,0.2,LOW,balanced
2020-05-08,VNM,0.0805147390839488,LOW,balanced
2020-05-08,ACB,0.2503318962756831,LOW,balanced
2020-05-08,CTD,0.2461491905606284,LOW,balanced
2020-05-08,FPT,0.22300417407973971,LOW,balanced
2020-05-08,GEX,0.2,LOW,balanced
2020-05-11,VNM,0.0805147390839488,LOW,balanced
2020-05-11,ACB,0.2503318962756831,LOW,balanced
2020-05-11,CTD,0.2461491905606284,LOW,balanced
2020-05-11,FPT,0.22300417407973971,LOW,balanced
2020-05-11,GEX,0.2,LOW,balanced
2020-05-12,VNM,0.0805147390839488,LOW,balanced
2020-05-12,ACB,0.2503318962756831,LOW,balanced
2020-05-12,CTD,0.2461491905606284,LOW,balanced
2020-05-12,FPT,0.22300417407973971,LOW,balanced
2020-05-12,GEX,0.2,LOW,balanced
2020-05-13,VNM,0.0805147390839488,LOW,balanced
2020-05-13,ACB,0.2503318962756831,LOW,balanced
2020-05-13,CTD,0.2461491905606284,LOW,balanced
2020-05-13,FPT,0.22300417407973971,LOW,balanced
2020-05-13,GEX,0.2,LOW,balanced
2020-05-14,VNM,0.0805147390839488,LOW,balanced
2020-05-14,ACB,0.2503318962756831,LOW,balanced
2020-05-14,CTD,0.2461491905606284,LOW,balanced
2020-05-14,FPT,0.22300417407973971,LOW,balanced
2020-05-14,GEX,0.2,LOW,balanced
2020-05-15,VNM,0.0805147390839488,LOW,balanced
2020-05-15,ACB,0.2503318962756831,LOW,balanced
2020-05-15,CTD,0.2461491905606284,LOW,balanced
2020-05-15,FPT,0.22300417407973971,LOW,balanced
2020-05-15,GEX,0.2,LOW,balanced
2020-05-18,VNM,0.0805147390839488,LOW,balanced
2020-05-18,ACB,0.2503318962756831,LOW,balanced
2020-05-18,CTD,0.2461491905606284,LOW,balanced
2020-05-18,FPT,0.22300417407973971,LOW,balanced
2020-05-18,GEX,0.2,LOW,balanced
2020-05-19,VNM,0.0805147390839488,LOW,balanced
2020-05-19,ACB,0.2503318962756831,LOW,balanced
2020-05-19,CTD,0.2461491905606284,LOW,balanced
2020-05-19,FPT,0.22300417407973971,LOW,balanced
2020-05-19,GEX,0.2,LOW,balanced
2020-05-20,VNM,0.0805147390839488,LOW,balanced
2020-05-20,ACB,0.2503318962756831,LOW,balanced
2020-05-20,CTD,0.2461491905606284,LOW,balanced
2020-05-20,FPT,0.22300417407973971,LOW,balanced
2020-05-20,GEX,0.2,LOW,balanced
2020-05-21,VNM,0.0805147390839488,LOW,balanced
2020-05-21,ACB,0.2503318962756831,LOW,balanced
2020-05-21,CTD,0.2461491905606284,LOW,balanced
2020-05-21,FPT,0.22300417407973971,LOW,balanced
2020-05-21,GEX,0.2,LOW,balanced
2020-05-22,VNM,0.0805147390839488,LOW,balanced
2020-05-22,ACB,0.2503318962756831,LOW,balanced
2020-05-22,CTD,0.2461491905606284,LOW,balanced
2020-05-22,FPT,0.22300417407973971,LOW,balanced
2020-05-22,GEX,0.2,LOW,balanced
2020-05-25,VNM,0.0805147390839488,LOW,balanced
2020-05-25,ACB,0.2503318962756831,LOW,balanced
2020-05-25,CTD,0.2461491905606284,LOW,balanced
2020-05-25,FPT,0.22300417407973971,LOW,balanced
2020-05-25,GEX,0.2,LOW,balanced
2020-05-26,VNM,0.0805147390839488,LOW,balanced
2020-05-26,ACB,0.2503318962756831,LOW,balanced
2020-05-26,CTD,0.2461491905606284,LOW,balanced
2020-05-26,FPT,0.22300417407973971,LOW,balanced
2020-05-26,GEX,0.2,LOW,balanced
2020-05-27,VNM,0.0805147390839488,LOW,balanced
2020-05-27,ACB,0.2503318962756831,LOW,balanced
2020-05-27,CTD,0.2461491905606284,LOW,balanced
2020-05-27,FPT,0.22300417407973971,LOW,balanced
2020-05-27,GEX,0.2,LOW,balanced
2020-05-28,VNM,0.0805147390839488,LOW,balanced
2020-05-28,ACB,0.2503318962756831,LOW,balanced
2020-05-28,CTD,0.2461491905606284,LOW,balanced
2020-05-28,FPT,0.22300417407973971,LOW,balanced
2020-05-28,GEX,0.2,LOW,balanced
2020-05-29,VNM,0.0805147390839488,LOW,balanced
